ID,Year,Month,Day,Country,Region,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,Nationals killed,Nationals wounded,Nationals kidnapped,Total nationals,Internationals killed,Internationals wounded,Internationals kidnapped,Total internationals,Total killed,Total wounded,Total kidnapped,Total affected,Gender Male,Gender Female,Gender Unknown,Means of attack,Attack context,Location,Details,,,
81,1999,8,4,Sierra Leone,,,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,K,U,U,2 UN international staff among 33 from UN group kidnapped by AFRC faction Aug 4 and released Aug 11.,,,
83,1999,8,11,Liberia,Kolahun,,0,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6,6,0,0,6,K,U,U,"6 INGO international (4 British, 1 Norwegian, 1 Italian) staff kidnapped in Kolahun Aug 11. Released unharmed 2 days later.",,,
86,1999,9,14,Somalia,Gedo,Garbaharey,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,C,U,1 INGO national staff killed in attack in Somalia Sept 14. Victim was among 10 people killed when rival factions fought for the control of the southern town Garbaharey.,,,
84,1999,9,15,Somalia,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,Am,R,1 UN national staff killed in road shooting Sept 15-16.,,,
85,1999,9,16,Angola,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,U,Am,R,1 UN national staf killed when convoy attacked Sept 16.,,,
90,1999,10,,Somalia,Jowhar,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,U,PS,1 INGO national killed outside hospital in Jowhar. Gunman killed later.,,,
88,1999,10,,Chechnya,,,0,0,3,0,0,0,2,1,0,3,0,0,0,0,2,1,0,3,0,0,3,AB,Am,R,2 RC national staff killed and 1 wounded in aerial bombardment of humanitarian convoy.,,,
87,1999,10,,Burundi,,,3,0,0,0,0,0,0,1,0,1,2,0,0,2,2,1,0,3,0,0,3,U,Am,U,"1 UN national staff wounded, 2 internationals killed (1 Chilean, 1 Dutch) and others escaped unharmed during ambush of joint UN assessment team.",,,
89,1999,10,7,Tajikistan,,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,U,IA,U,1 INGO international staffer killed Oct 7.,,,
91,1999,11,,Kenya,,Nairobi,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,IA,H,1 UN national staff security officer killed in his home in Nairobi.,,,
93,1999,11,,Indonesia,Aceh,,0,0,6,0,0,0,0,6,0,6,0,0,0,0,0,6,0,6,0,0,6,U,D,C,6 NGO national staff arrested and tortured in Aceh.,,,
92,1999,11,10,Colombia,,,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,K,U,U,1 ICRC international (British) staff kidnapped Nov 10 and released unharmed Nov 14.,,,
136,2000,,,,,,0,0,0,4,0,0,0,3,0,3,0,1,0,1,0,4,0,4,0,0,4,U,U,U,1 ICRC international and 3 national staff wounded.,,,
101,2000,1,,Sudan,,,0,8,0,0,0,0,7,0,0,7,1,0,0,1,8,0,0,8,0,0,8,U,Am,R,"8 INGO staff (7 national, 1 international) killed killed in attack on vehicle.",,,
100,2000,1,,Somalia,,Sablale,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,U,R,OC,2 INGO national staff killed in attack on office in Sablale.,,,
98,2000,1,,Somalia,,north of Mogadishu,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,Am,R,1 INGO national staff killed during an ambush north of Mogadishu.,,,
96,2000,1,,Somalia,,,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,S,Am,R,1 ICRC national staff shot and wounded when returning from a relief distribution.,,,
102,2000,1,,Angola,,near Quilengues,0,5,0,0,0,0,3,2,0,5,0,0,0,0,3,2,0,5,0,0,5,U,Am,U,3 INGO national staff killed and 2 wounded in ambush near the town of Quilengues.,,,
97,2000,1,8,Sudan,Al Wahdah,,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,U,Am,U,2 INGO national staff killed in ambush in Al Wahdah State on Jan 8.,,,
95,2000,1,10,Mozambique,,Maputo,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,S,IA,U,1 UN national staff shot and killed in Maputo on Jan 10.,,,
99,2000,1,28,Somalia,,,0,5,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,5,5,0,0,U,Am,U,5 INGO national staff killed in attack on aid convoy on Jan 28.,,,
103,2000,2,,Ethiopia,,,0,2,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,2,0,0,2,U,Am,U,1 INGO national staff killed and 1 international staff wounded when vehicle ambushed.,,,
104,2000,2,22,Kenya,,Nairobi,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,S,IA,U,"1 IFI international (Netherlands) staff shot and killed in Nairobi, Feb 22.",,,
107,2000,3,,Sudan,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,U,Am,U,1 INGO national staff killed in ambush.,,,
105,2000,3,4,Rwanda,,Kigali,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,S,Am,U,"1 UN international (Liberian) staff shot and killed by unknown assailant while sitting in their car in Kigali, March 4.",,,
106,2000,3,8,Kosovo,,Pristina,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,S,U,U,1 UN national staff shot and killed in Pristina March 8. ,,,
109,2000,4,,DR Congo,Ituri,Bunia,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,2,K,Am,R,"2 INGO national staff hijacked in Bunia, Ituri by militia and forced to transport weapons. Led to organization's withdrawal from province.",,,
